,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,2.334,0.008,2.319,2.351,0.0,0.0,891.066,628.675,1.002
betas[0],-0.136,0.008,-0.151,-0.12,0.0,0.0,648.229,795.147,1.002
psi,0.999,0.001,0.998,1.0,0.0,0.0,496.554,317.976,0.999
