date,photo_count,temp,min,max,precip
2024-02-01,11,12.3,9.0,20.0,0.0
2024-01-31,3,13.9,11.0,19.0,0.0
2024-01-29,10,8.2,5.0,14.0,0.0
2024-01-28,12,9.4,7.0,12.0,0.0
2024-01-27,19,16.0,15.0,17.0,12.4
2024-01-26,2,12.7,12.0,16.0,18.7
2024-01-25,12,16.1,15.0,17.0,49.8
2024-01-20,6,3.7,0.0,8.0,0.0
2024-01-18,5,4.7,4.0,6.0,0.0
2024-01-10,2,6.1,2.0,10.0,0.0
2024-01-08,3,15.7,11.0,24.0,0.0
2024-01-07,2,10.2,3.0,18.0,0.0
2024-01-06,24,9.6,4.0,18.0,19.2
2024-01-04,14,9.8,3.0,17.0,0.0
2024-01-03,7,10.2,4.0,16.0,26.7
2024-01-01,40,15.3,4.0,23.0,0.2
2023-12-31,25,7.8,4.0,11.0,0.0
2023-12-29,8,7.2,5.0,11.0,0.0
2023-12-28,2,8.8,5.0,14.0,0.0
2023-12-26,5,8.2,5.0,11.0,0.0
2023-12-25,4,13.0,11.0,15.0,18.5
2023-12-23,3,18.1,18.0,18.0,0.0
2023-12-22,14,15.3,13.0,17.0,0.0
2023-12-21,18,14.8,13.0,17.0,0.0
2023-12-20,20,10.7,10.0,13.0,0.0
2023-12-18,6,9.3,8.0,11.0,0.0
2023-12-17,13,10.9,8.0,14.0,0.0
2023-12-16,13,16.2,14.0,17.0,25.6
2023-12-15,2,15.1,14.0,17.0,0.0
2023-12-10,1,17.0,13.0,21.0,2.8
2023-12-09,16,22.9,23.0,23.0,1.0
2023-12-07,16,8.4,7.0,12.0,0.0
2023-12-04,4,,,,
2023-12-03,29,13.8,11.0,18.0,0.0
2023-12-02,34,16.8,16.0,18.0,11.3
2023-12-01,11,20.4,18.0,21.0,13.2
2023-11-29,3,7.1,6.0,9.0,0.0
2023-11-27,20,,,,
2023-11-26,5,14.9,13.0,16.0,0.0
2023-11-25,29,10.2,8.0,13.0,0.0
2023-11-24,11,9.9,8.0,11.0,0.7
2023-11-22,4,9.9,8.0,12.0,0.0
2023-11-20,4,19.4,19.0,21.0,0.0
2023-11-19,58,14.8,13.0,17.0,0.0
2023-11-18,30,18.8,18.0,21.0,0.0
2023-11-17,2,16.8,17.0,17.0,0.0
2023-11-16,12,,,,
2023-11-15,9,17.2,16.0,18.0,0.0
2023-11-12,53,,,,
2023-11-09,5,22.7,21.0,24.0,0.0
2023-11-06,6,21.1,19.0,24.0,0.0
2023-11-05,10,17.9,14.0,21.0,0.0
2023-11-04,24,15.2,14.0,18.0,0.0
2023-11-03,4,11.1,8.0,13.0,0.0
2023-11-02,6,7.7,6.0,10.0,0.0
2023-10-29,17,23.9,22.0,25.0,0.0
2023-10-28,12,24.4,23.0,26.0,0.0
2023-10-25,5,23.9,23.0,26.0,0.0
2023-10-20,4,19.6,17.0,23.0,0.0
2023-10-19,2,19.3,16.0,23.0,0.0
2023-09-17,1,23.8,23.0,24.0,1.0
2023-09-10,10,,,,
2023-08-31,2,28.6,24.0,34.0,0.0
2023-08-15,4,31.2,29.0,34.0,0.0
2023-08-13,1,29.9,28.0,33.0,0.0
2023-08-06,3,31.1,29.0,34.0,0.0
2023-08-03,6,30.3,28.0,33.0,0.0
2023-07-23,9,28.4,24.0,35.0,0.0
2023-05-10,13,21.3,21.0,22.0,28.6
2023-05-08,52,24.1,24.0,24.0,0.0
2023-05-07,6,25.1,24.0,26.0,0.0
2023-05-06,24,25.4,23.0,28.0,0.0
2023-05-05,30,24.0,24.0,24.0,0.0
2023-05-04,5,22.6,21.0,25.0,0.0
2023-05-03,2,,,,
2023-05-02,11,,,,
2023-05-01,9,21.9,12.0,29.0,0.0
2023-04-30,43,15.2,12.0,19.0,0.0
2023-04-29,51,19.0,17.0,23.0,8.6
2023-04-28,21,17.8,15.0,23.0,6.3
2023-04-27,3,20.8,17.0,23.0,3.7
2023-04-25,28,18.2,17.0,20.0,0.0
2023-04-22,57,19.7,13.0,26.0,27.8
2023-04-21,3,19.4,18.0,23.0,32.0
2023-04-20,8,23.1,18.0,29.0,0.0
2023-04-19,32,,,,
2023-04-18,2,16.8,14.0,19.0,0.0
2023-04-17,1,16.8,14.0,21.0,0.0
2023-04-16,25,,,,
2023-04-15,13,22.6,22.0,23.0,0.0
2023-04-14,9,19.3,18.0,21.0,0.0
2023-04-12,11,17.4,14.0,21.0,0.0
2023-04-11,28,16.4,15.0,17.0,0.0
2023-04-10,4,17.6,16.0,19.0,0.0
2023-04-09,21,18.6,17.0,21.0,0.0
2023-04-08,9,12.6,12.0,13.0,0.0
2023-04-06,3,14.9,13.0,18.0,20.2
2023-04-04,6,,,,
2023-04-03,9,25.7,23.0,30.0,0.0
2023-04-02,15,,,,
2023-04-01,14,25.0,21.0,31.0,0.0
